PyTorch 1.10.2
Torchvision 0.11.3
Torchattacks 3.2.4
Numpy 1.21.5
device cuda
Corruptions ['gaussian_noise', 'shot_noise', 'impulse_noise', 'defocus_blur', 'glass_blur', 'motion_blur', 'zoom_blur', 'snow', 'frost', 'fog', 'brightness', 'contrast', 'elastic_transform', 'pixelate', 'jpeg_compression', 'speckle_noise', 'gaussian_blur', 'spatter', 'saturate']
Files already downloaded and verified


Trained 4.0-robust model, frost, Test Loss 0.002, Test Error 19.154
Trained 4.0-robust model, fog, Test Loss 0.005, Test Error 34.992
Trained 4.0-robust model, brightness, Test Loss 0.002, Test Error 13.828
Trained 4.0-robust model, contrast, Test Loss 0.009, Test Error 51.226
Trained 4.0-robust model, elastic_transform, Test Loss 0.002, Test Error 17.064
Trained 4.0-robust model, pixelate, Test Loss 0.002, Test Error 13.108
Trained 4.0-robust model, jpeg_compression, Test Loss 0.002, Test Error 13.268
Trained 4.0-robust model, speckle_noise, Test Loss 0.002, Test Error 15.374
Trained 4.0-robust model, gaussian_blur, Test Loss 0.002, Test Error 18.922
Trained 4.0-robust model, spatter, Test Loss 0.002, Test Error 16.410
Trained 4.0-robust model, saturate, Test Loss 0.002, Test Error 15.576


Trained 5.0-robust model, gaussian_noise, Test Loss 0.002, Test Error 17.348
Trained 5.0-robust model, shot_noise, Test Loss 0.002, Test Error 16.374
Trained 5.0-robust model, impulse_noise, Test Loss 0.003, Test Error 24.064
Trained 5.0-robust model, defocus_blur, Test Loss 0.002, Test Error 17.264
Trained 5.0-robust model, glass_blur, Test Loss 0.002, Test Error 19.786
Trained 5.0-robust model, motion_blur, Test Loss 0.002, Test Error 21.294
Trained 5.0-robust model, zoom_blur, Test Loss 0.002, Test Error 18.320
Trained 5.0-robust model, snow, Test Loss 0.002, Test Error 18.478
Trained 5.0-robust model, frost, Test Loss 0.003, Test Error 21.196
Trained 5.0-robust model, fog, Test Loss 0.005, Test Error 37.086
Trained 5.0-robust model, brightness, Test Loss 0.002, Test Error 15.668
Trained 5.0-robust model, contrast, Test Loss 0.009, Test Error 53.558
Trained 5.0-robust model, elastic_transform, Test Loss 0.002, Test Error 18.124
Trained 5.0-robust model, pixelate, Test Loss 0.002, Test Error 14.208
Trained 5.0-robust model, jpeg_compression, Test Loss 0.002, Test Error 14.296
Trained 5.0-robust model, speckle_noise, Test Loss 0.002, Test Error 16.622
Trained 5.0-robust model, gaussian_blur, Test Loss 0.002, Test Error 19.488
Trained 5.0-robust model, spatter, Test Loss 0.002, Test Error 17.584
Trained 5.0-robust model, saturate, Test Loss 0.002, Test Error 16.944


Trained 6.0-robust model, gaussian_noise, Test Loss 0.002, Test Error 18.372
Trained 6.0-robust model, shot_noise, Test Loss 0.002, Test Error 17.440
Trained 6.0-robust model, impulse_noise, Test Loss 0.003, Test Error 25.422
Trained 6.0-robust model, defocus_blur, Test Loss 0.002, Test Error 18.394
Trained 6.0-robust model, glass_blur, Test Loss 0.002, Test Error 20.416
Trained 6.0-robust model, motion_blur, Test Loss 0.003, Test Error 22.396
Trained 6.0-robust model, zoom_blur, Test Loss 0.002, Test Error 19.184
Trained 6.0-robust model, snow, Test Loss 0.002, Test Error 19.694
Trained 6.0-robust model, frost, Test Loss 0.003, Test Error 23.044
Trained 6.0-robust model, fog, Test Loss 0.005, Test Error 38.804
Trained 6.0-robust model, brightness, Test Loss 0.002, Test Error 17.270
Trained 6.0-robust model, contrast, Test Loss 0.008, Test Error 54.980
Trained 6.0-robust model, elastic_transform, Test Loss 0.002, Test Error 19.282
Trained 6.0-robust model, pixelate, Test Loss 0.002, Test Error 15.640
Trained 6.0-robust model, jpeg_compression, Test Loss 0.002, Test Error 15.666
Trained 6.0-robust model, speckle_noise, Test Loss 0.002, Test Error 18.016
Trained 6.0-robust model, gaussian_blur, Test Loss 0.002, Test Error 20.624
Trained 6.0-robust model, spatter, Test Loss 0.002, Test Error 18.658
Trained 6.0-robust model, saturate, Test Loss 0.002, Test Error 17.960


Trained 7.0-robust model, gaussian_noise, Test Loss 0.002, Test Error 19.724
Trained 7.0-robust model, shot_noise, Test Loss 0.002, Test Error 18.936
Trained 7.0-robust model, impulse_noise, Test Loss 0.003, Test Error 25.922
Trained 7.0-robust model, defocus_blur, Test Loss 0.002, Test Error 19.994
Trained 7.0-robust model, glass_blur, Test Loss 0.003, Test Error 21.628
Trained 7.0-robust model, motion_blur, Test Loss 0.003, Test Error 23.874
Trained 7.0-robust model, zoom_blur, Test Loss 0.002, Test Error 20.650
Trained 7.0-robust model, snow, Test Loss 0.002, Test Error 21.036
Trained 7.0-robust model, frost, Test Loss 0.003, Test Error 25.068
Trained 7.0-robust model, fog, Test Loss 0.005, Test Error 40.708
Trained 7.0-robust model, brightness, Test Loss 0.002, Test Error 18.790
Trained 7.0-robust model, contrast, Test Loss 0.009, Test Error 56.960
Trained 7.0-robust model, elastic_transform, Test Loss 0.002, Test Error 20.764
Trained 7.0-robust model, pixelate, Test Loss 0.002, Test Error 17.364
Trained 7.0-robust model, jpeg_compression, Test Loss 0.002, Test Error 17.418
Trained 7.0-robust model, speckle_noise, Test Loss 0.002, Test Error 19.200
Trained 7.0-robust model, gaussian_blur, Test Loss 0.003, Test Error 22.068
Trained 7.0-robust model, spatter, Test Loss 0.002, Test Error 19.804
Trained 7.0-robust model, saturate, Test Loss 0.002, Test Error 19.730


Trained 8.0-robust model, gaussian_noise, Test Loss 0.002, Test Error 20.656
