,layer3,\blue{+0.05},\blue{+0.22},\blue{+0.79},\blue{+0.33},\blue{+0.01},\blue{+0.12},\blue{+0.81},\blue{+0.53},layer[2],\red{-0.07},\blue{+0.01},\blue{+0.05},\red{-0.05},\blue{+0.06},\blue{+0.13},\blue{+0.37},\blue{+0.32}
,layer4,\blue{+0.01},\red{-0.01},\blue{+0.07},\red{-0.12},\red{-0.07},\blue{+0.09},\blue{+0.79},\blue{+0.89},,,,,,,,,
10,none,9.63,24.41,39.64,45.67,9.63,24.41,39.64,45.67,none,11.15,28.19,44.65,48.12,11.15,28.19,44.65,48.12
,conv0,\blue{+3.52},\blue{+4.17},\blue{+2.35},\blue{+1.26},\blue{+1.04},\blue{+0.76},\red{-0.35},\red{-0.80},init conv,\red{-0.26},\blue{+0.09},\red{-0.07},\blue{+0.22},\red{-0.04},\red{-0.06},\red{-0.01},\blue{+0.22}
,layer1,\blue{+0.38},\blue{+0.97},\blue{+0.67},\blue{+0.20},\blue{+0.05},\blue{+0.60},\blue{+0.57},\blue{+0.06},layer[0],\blue{+0.54},\blue{+0.65},\blue{+0.37},\blue{+0.33},\blue{+0.29},\blue{+0.36},\blue{+0.35},\blue{+0.58}
,layer2,\blue{+0.27},\blue{+0.58},\blue{+0.82},\blue{+0.24},\blue{+0.12},\blue{+0.39},\blue{+0.62},\blue{+0.67},layer[1],\blue{+0.08},\blue{+0.28},\blue{+0.17},\blue{+0.54},\red{-0.13},\blue{+0.13},\blue{+0.21},\blue{+0.64}
,layer3,\red{-0.11},\blue{+0.18},\blue{+0.51},\blue{+0.24},\red{-0.38},\blue{+0.12},\blue{+0.64},\blue{+0.43},layer[2],0,\blue{+0.15},\red{-0.04},\blue{+0.08},\red{-0.06},\blue{+0.18},\blue{+0.19},\blue{+0.52}
,layer4,\blue{+0.06},\blue{+0.01},\blue{+0.02},\red{-0.12},\red{-0.11},\blue{+0.14},\blue{+0.85},\blue{+1.29},,,,,,,,,
12,none,4.28,15.48,31.17,39.27,4.28,15.48,31.17,39.27,none,5.18,17.54,35.93,42.09,5.18,17.54,35.93,42.09
,conv0,\blue{+2.23},\blue{+3.31},\blue{+2.45},\blue{+1.47},\blue{+1.00},\blue{+0.62},\red{-0.32},\red{-0.51},init conv,\red{-0.10},\blue{+0.08},\red{-0.14},\red{-0.03},\red{-0.03},\blue{+0.12},\red{-0.09},\blue{+0.11}
,layer1,\blue{+0.14},\blue{+0.65},\blue{+0.60},\blue{+0.27},\blue{+0.01},\blue{+0.12},\blue{+0.39},\blue{+0.30},layer[0],\blue{+0.17},\blue{+0.65},\blue{+0.25},\blue{+0.12},\blue{+0.17},\blue{+0.90},\blue{+0.38},\blue{+0.33}
,layer2,\blue{+0.22},\blue{+0.63},\blue{+0.88},\blue{+0.64},\blue{+0.09},\blue{+0.31},\blue{+0.78},\blue{+1.16},layer[1],\blue{+0.07},\blue{+0.31},\blue{+0.41},\blue{+0.29},\red{-0.04},\blue{+0.36},\blue{+0.52},\blue{+0.50}
,layer3,\blue{+0.02},\blue{+0.14},\blue{+0.55},\blue{+0.25},\blue{+0.01},\blue{+0.04},\blue{+0.74},\blue{+0.39},layer[2],\red{-0.03},\blue{+0.09},\blue{+0.29},\blue{+0.17},\red{-0.15},\blue{+0.18},\blue{+0.56},\blue{+0.56}
,layer4,\blue{+0.02},\red{-0.03},\red{-0.01},\red{-0.25},\blue{+0.06},\blue{+0.15},\blue{+0.59},\blue{+1.09},,,,,,,,,
